Depth,Date_Time,CBR_PWRAX,CBR_PWRBX,New_DLC_RPMX
3257.37,Nov 11 2019 23:19:33,0.0391,0.8984,3954
3255.99,Nov 11 2019 23:31:08,0.0391,2.1875,3954
3234.79,Nov 11 2019 23:39:50,0.0391,3.75,3636
3269.64,Nov 11 2019 23:47:39,0.0391,0.9961,3906
3281.62,Nov 11 2019 23:55:28,0.0391,2.1289,3888
3309.6,Nov 12 2019 0:03:16,0.0391,2.7148,3882
3323.92,Nov 12 2019 0:20:06,0.0391,2.3047,4218
3348.67,Nov 12 2019 0:27:53,0.0391,2.2266,4116
3351.98,Nov 12 2019 0:35:44,0.0391,2.0117,4116
3360.34,Nov 12 2019 0:43:33,0.0391,2.168,3639
3382.8,Nov 12 2019 0:51:22,0.0391,2.5391,3645
3410.75,Nov 12 2019 0:59:11,0.0391,2.6953,3612
3419.03,Nov 12 2019 1:15:57,0.0781,2.0898,3726
3419.19,Nov 12 2019 1:23:42,0.0391,2.207,3684
3437.58,Nov 12 2019 1:31:29,0.0391,2.0117,3753
3468.99,Nov 12 2019 1:39:26,0.0391,0.1953,3726
3491.79,Nov 12 2019 1:47:15,-9999,2.2656,2964
3495.42,Nov 12 2019 1:52:35,0.0391,1.2305,3729
3513.73,Nov 12 2019 2:00:24,0.0391,2.5195,3105
3513.81,Nov 12 2019 2:21:40,0.0391,2.6172,3105
3539.53,Nov 12 2019 2:29:29,0.0391,1.9531,4056
3560.03,Nov 12 2019 2:39:28,0.0391,2.1484,4116
3596.46,Nov 12 2019 2:47:17,0.0391,1.9727,4131
3610.93,Nov 12 2019 3:14:40,0.0391,1.0742,-9999
3612.13,Nov 12 2019 3:20:46,0.0391,2.4219,3909
3612.13,Nov 12 2019 3:20:46,0.0391,2.4219,3909
3629.26,Nov 12 2019 3:28:34,0.0391,1.582,4260
3647.65,Nov 12 2019 3:37:19,0.0391,2.5,4254
3676.22,Nov 12 2019 3:45:08,0.0391,2.6172,4290
3704.18,Nov 12 2019 3:52:57,0.0391,1.9141,-9999
3702.02,Nov 12 2019 4:08:01,0.0391,2.7344,4296
3706.67,Nov 12 2019 4:15:39,0.0391,2.5781,4407
3734.09,Nov 12 2019 4:23:26,0.0391,3.1836,4191
3766.76,Nov 12 2019 4:31:15,0.0391,2.4023,4092
3779.29,Nov 12 2019 4:39:04,0.0391,2.5195,4110
3801.47,Nov 12 2019 4:46:53,0.0391,2.5781,4575
3798.81,Nov 12 2019 4:59:50,0.0391,2.207,4188
3801.09,Nov 12 2019 5:07:42,0.0391,2.5,4575
3829.86,Nov 12 2019 5:15:30,0.0391,2.5,4656
3868.22,Nov 12 2019 5:23:18,0.0391,1.8359,4638
3897.06,Nov 12 2019 5:31:07,0.0391,2.4805,4179
3900.88,Nov 12 2019 5:50:31,0.0391,2.5391,4269
3930.47,Nov 12 2019 5:58:20,0.0391,2.3438,4557
3960.88,Nov 12 2019 6:06:09,-9999,1.875,4521
3973.53,Nov 12 2019 6:13:58,0.0391,2.2656,4569
3982.82,Nov 12 2019 6:21:47,0.0391,2.1094,4647
3990.56,Nov 12 2019 6:29:35,0.0391,1.8945,4917
3989.97,Nov 12 2019 6:45:45,0.0391,2.5586,4644
4019.09,Nov 12 2019 6:53:32,0.0391,2.0703,4881
4049.69,Nov 12 2019 7:03:13,0.0391,2.3047,4881
4084.05,Nov 12 2019 7:11:02,0.0391,1.5234,4989
4089.95,Nov 12 2019 7:28:21,0.0391,2.0117,4659
4089.95,Nov 12 2019 7:28:21,0.0391,2.0117,4659
4089.95,Nov 12 2019 7:28:21,0.0391,2.0117,4659
4120.07,Nov 12 2019 7:41:30,0.0391,2.3828,4839
4146.88,Nov 12 2019 7:49:19,0.0391,1.875,4854
4177.3,Nov 12 2019 7:57:08,0.0391,2.3047,4893
4185.56,Nov 12 2019 8:19:03,0.0391,0.918,4848
4185.61,Nov 12 2019 8:19:04,0.0391,0.918,4848
4221.39,Nov 12 2019 8:26:53,0.0391,2.1094,4923
4259.78,Nov 12 2019 8:34:42,0.0391,2.2852,4905
4280.28,Nov 12 2019 8:50:44,0.0391,1.0352,4824
4304.41,Nov 12 2019 8:58:32,0.0391,1.6211,4803
4332.93,Nov 12 2019 9:06:21,0.0391,2.1875,4905
4352.65,Nov 12 2019 9:14:39,0.0391,1.9922,4881
4377.13,Nov 12 2019 9:30:01,0.0391,2.207,4857
4412.54,Nov 12 2019 9:37:49,0.0391,1.7383,4851
4446.69,Nov 12 2019 9:45:38,0.0391,2.6758,4836
4462.05,Nov 12 2019 9:53:27,0.0391,2.2656,4878
4469.34,Nov 12 2019 10:07:50,0.0391,1.9336,4830
4492.38,Nov 12 2019 10:19:36,0.0391,2.5,4863
4517.1,Nov 12 2019 10:27:25,0.0391,2.1094,4857
4542.87,Nov 12 2019 10:35:14,0.0391,2.2656,4809
4562.19,Nov 12 2019 10:43:03,0.0391,1.7383,4842
4565.38,Nov 12 2019 10:56:49,-9999,3.1641,4773
4580.14,Nov 12 2019 11:02:52,5.2344,-9999,4773
4587.71,Nov 12 2019 11:05:24,-9999,-9.0625,4830
4601.69,Nov 12 2019 11:18:49,0.0391,1.8945,4794
4626.15,Nov 12 2019 11:26:38,0.0391,2.1289,4887
4648.59,Nov 12 2019 11:34:27,0.0391,1.8359,4893
4660.59,Nov 12 2019 11:50:00,0.0391,2.9883,4890
4689.91,Nov 12 2019 11:57:49,0.0391,2.1094,4869
4717.71,Nov 12 2019 12:05:38,0.0391,2.1289,4872
4735.95,Nov 12 2019 12:13:27,0.0391,1.8359,4890
4751.29,Nov 12 2019 12:21:15,0.0391,2.2852,4875
4711.21,Nov 12 2019 12:29:04,0.0391,2.6367,4893
4755.84,Nov 12 2019 12:38:59,0.0391,3.2617,4917
4764.31,Nov 12 2019 12:46:44,0.0391,2.3047,4872
4791.44,Nov 12 2019 12:54:33,0.0391,2.4414,4869
4810.59,Nov 12 2019 13:04:48,0.0391,2.2266,4866
4811.39,Nov 12 2019 13:12:37,0.0391,1.6797,4854
4836,Nov 12 2019 13:20:26,0.0391,2.2852,4854
4763.91,Nov 12 2019 13:28:15,0.0195,2.207,4869
4852.66,Nov 12 2019 13:40:37,0.0391,2.4219,4866
4862.53,Nov 12 2019 13:48:23,0.0391,1.8164,4815
4888.87,Nov 12 2019 13:56:11,0.0391,1.6602,4854
4895.51,Nov 12 2019 14:02:28,0.0391,2.2266,4857
4913.55,Nov 12 2019 14:10:17,0.0391,2.0508,4854
4931.65,Nov 12 2019 14:18:05,0.0391,1.7383,4872
4913.23,Nov 12 2019 14:25:54,-9999,1.8164,4854
4948.79,Nov 12 2019 14:41:27,0.0195,-9999,3972
4951.07,Nov 12 2019 14:45:58,0.0391,1.9336,3972
4978.64,Nov 12 2019 14:53:47,0.0391,1.7969,4842
5004.49,Nov 12 2019 15:01:35,0.0391,1.7773,4860
5029.18,Nov 12 2019 15:09:24,0.0195,2.2461,4896
4949.43,Nov 12 2019 15:17:13,0.0391,1.0742,3972
5043.09,Nov 12 2019 15:29:04,0.0391,1.8945,4905
5068.81,Nov 12 2019 15:46:01,0.0391,2.2656,4875
5096.4,Nov 12 2019 15:56:43,0.0391,2.168,4884
5125.09,Nov 12 2019 16:04:33,0.0391,2.0703,4878
5132.66,Nov 12 2019 16:12:22,0.0391,1.3867,4941
5138.32,Nov 12 2019 16:22:33,0.0195,1.5039,4848
5164.35,Nov 12 2019 16:30:22,0.0391,1.7773,4884
5192.51,Nov 12 2019 16:38:11,0.0391,2.3242,4875
5217.69,Nov 12 2019 16:46:00,0.0391,1.6992,4875
5261.99,Nov 12 2019 17:06:56,0.0391,2.3828,4824
5241.98,Nov 12 2019 17:14:45,0.0391,2.3633,4878
5262.93,Nov 12 2019 17:22:34,0.0391,1.8359,4824
5271.03,Nov 12 2019 17:30:22,0.0195,2.3828,4809
5272.67,Nov 12 2019 17:38:11,0.0391,2.0313,4839
5276.51,Nov 12 2019 17:45:59,0.0391,2.3633,4797
5279.22,Nov 12 2019 17:53:49,0.7227,2.1094,4806
5282.11,Nov 12 2019 18:01:38,0.0391,2.2852,4824
5285.03,Nov 12 2019 18:09:27,0.0391,-9999,4557
5285.98,Nov 12 2019 18:13:18,0.0195,1.8164,4815
5281.49,Nov 12 2019 18:21:07,0.0195,2.2266,4833
5291.22,Nov 12 2019 18:28:56,0.0195,2.3047,4896
5294.03,Nov 12 2019 18:36:45,0.0195,2.3438,4863
5297.18,Nov 12 2019 18:44:33,8.8477,-9999,4884
5299.84,Nov 12 2019 18:52:22,0.0195,2.3828,4863
5303,Nov 12 2019 19:00:12,0.0195,2.4023,4887
5309.55,Nov 12 2019 19:08:01,0.0391,2.3438,4854
5326.01,Nov 12 2019 19:15:49,0.0195,1.9531,4842
5335.06,Nov 12 2019 19:36:40,0.0195,2.4609,4827
5358.78,Nov 12 2019 19:44:28,0.0195,2.6758,4917
5367.36,Nov 12 2019 19:52:17,0.0195,1.6992,4914
5373.06,Nov 12 2019 20:00:06,0.0195,2.168,4962
5397.66,Nov 12 2019 20:07:55,0.0195,1.25,4854
5418.07,Nov 12 2019 20:15:44,0.0195,0.957,4920
